champion,top,jungle,mid,adc,support
Aatrox,1,0,0,0,0
Ahri,0,3,0,0,0
Akali,4,3,0,0,0
Alistar,0,0,0,0,2
Amumu,0,0,5,0,0
Anivia,0,2,0,0,4
Annie,0,3,0,0,0
Aphelios,0,0,0,5,0
Ashe,0,0,0,4,0
Aurelion Sol,0,4,0,0,0
Azir,0,5,0,0,0
Bard,0,0,0,0,3
Blitzcrank,0,0,0,0,2
Brand,0,0,0,0,5
Braum,0,0,0,0,5
Caitlyn,0,0,0,2,0
Camille,4,5,5,0,0
Cassiopeia,0,4,0,0,0
Cho'Gath,5,4,0,0,0
Corki,0,5,0,0,0
Darius,2,0,0,0,0
Diana,0,4,2,0,0
Dr. Mundo,5,0,0,0,0
Draven,0,0,0,5,0
Ekko,0,2,3,0,0
Elise,0,0,1,0,0
Evelynn,0,0,2,0,0
Ezreal,0,0,0,3,0
Fiddlesticks,0,0,2,0,0
Fiora,2,0,0,0,0
Fizz,0,2,0,0,0
Galio,0,2,0,0,3
Gangplank,4,0,0,0,0
Garen,2,4,0,0,0
Gnar,2,0,0,0,0
Gragas,0,0,4,0,3
Graves,0,0,4,0,0
Gwen,2,4,3,0,0
Hecarim,0,0,5,0,0
Heimerdinger,3,0,0,0,0
Illaoi,5,0,0,0,0
Irelia,4,5,0,0,0
Ivern,0,0,4,0,0
Janna,0,0,0,0,3
Jarvan IV,0,0,5,0,0
Jax,3,0,4,0,0
Jayce,3,4,0,0,0
Jhin,0,0,0,2,0
Jinx,0,0,0,1,0
Kai'Sa,0,0,0,2,0
Kalista,5,0,0,5,0
Karma,0,0,0,0,4
Karthus,0,0,2,0,0
Kassadin,0,3,0,0,0
Katarina,0,1,0,0,0
Kayle,4,0,0,0,0
Kayn,0,0,3,0,0
Kennen,3,0,0,0,0
Kha'Zix,0,0,3,0,0
Kindred,0,0,2,0,0
Kled,2,2,0,0,0
Kog'Maw,0,0,0,4,0
LeBlanc,0,2,0,0,0
Lee Sin,1,0,1,0,0
Leona,0,0,0,0,1
Lillia,0,0,5,0,0
Lissandra,0,4,0,0,0
Lucian,5,5,0,4,0
Lulu,0,0,0,0,1
Lux,0,5,0,0,5
Malphite,2,2,0,0,0
Malzahar,0,3,0,0,0
Maokai,2,0,0,0,2
Master Yi,0,0,5,0,0
Miss Fortune,0,0,0,4,0
Mordekaiser,3,0,0,0,0
Morgana,0,0,1,0,2
Nami,0,0,0,0,5
Nasus,4,0,0,0,0
Nautilus,0,0,0,0,2
Neeko,0,5,0,0,5
Nidalee,0,0,3,0,0
Nocturne,3,3,2,0,0
Nunu & Willump,0,5,2,0,0
Olaf,0,0,4,0,0
Orianna,0,5,0,0,0
Ornn,2,0,0,0,0
Pantheon,3,1,0,0,3
Poppy,2,0,2,0,4
Pyke,0,0,0,0,2
Qiyana,0,1,0,0,0
Quinn,5,0,0,0,0
Rakan,0,0,0,0,4
Rammus,0,0,4,0,0
Rek'Sai,0,0,2,0,0
Rell,0,0,0,0,3
Renekton,2,4,0,0,0
Rengar,4,0,5,0,0
Riven,2,5,0,0,0
Rumble,3,2,2,0,0
Ryze,5,5,0,0,0
Samira,0,0,0,1,0
Sejuani,0,0,4,0,0
Senna,0,0,0,5,1
Seraphine,0,0,0,0,5
Sett,1,2,0,0,5
Shaco,0,0,1,0,2
Shen,1,0,0,0,3
Shyvana,0,0,5,0,0
Singed,5,0,0,0,0
Sion,3,5,0,0,0
Sivir,0,0,0,3,0
Sona,0,0,0,0,5
Soraka,0,0,0,0,4
Swain,0,0,0,2,4
Sylas,1,2,0,0,0
Syndra,0,5,0,0,0
Tahm Kench,0,0,0,3,5
Taliyah,0,0,3,0,0
Talon,0,1,0,0,0
Taric,0,0,0,0,5
Teemo,4,0,0,0,0
Thresh,0,0,0,0,1
Tristana,0,4,0,2,0
Trundle,5,0,5,0,0
Tryndamere,4,0,0,0,0
Twisted Fate,0,3,0,0,0
Twitch,0,0,0,5,0
Udyr,0,0,4,0,0
Urgot,5,0,0,0,0
Varus,0,0,0,3,0
Vayne,2,0,0,2,0
Veigar,0,0,0,0,5
Vel'Koz,0,0,0,0,4
Vi,0,0,5,0,0
Viego,5,2,3,0,0
Viktor,0,3,0,0,0
Vladimir,3,4,0,0,0
Volibear,2,0,4,0,0
Warwick,4,0,3,0,0
Wukong,3,3,5,0,0
Xayah,0,0,0,5,0
Xerath,0,3,0,0,2
Xin Zhao,0,0,2,0,0
Yasuo,5,2,0,4,0
Yone,4,3,0,0,0
Yorick,5,0,0,0,0
Yuumi,0,0,0,0,3
Zac,5,0,3,0,4
Zed,0,1,0,0,0
Zilean,0,0,0,0,2
Zoe,0,2,0,0,0
Zyra,0,0,0,0,2
