"","English_Champ","line","count"
"1","Garen","TM",59745
"2","Galio","MS",19504
"3","Gangplank","T",84131
"4","Gragas","JS",52085
"5","Graves","J",7177
"6","Gwen","TJM",15034
"7","Gnar","T",4595
"8","Nami","S",13700
"9","Nasus","T",37244
"10","Nautilus","S",1647
"11","Nocturne","TJM",3107
"12","Nunu & Willump","JM",9052
"13","Nidalee","J",53732
"14","Neeko","MS",14271
"15","Darius","T",6849
"16","Diana","JM",62996
"17","Draven","A",28867
"18","Ryze","TM",5194
"19","Rakan","S",11444
"20","Rammus","J",4574
"21","Lux","MS",29338
"22","Rumble","TJM",94946
"23","Renekton","TM",4662
"24","Leona","S",7326
"25","Rek'Sai","J",48308
"26","Rell","S",46996
"27","Rengar","TJ",15955
"28","Lucian","TMA",155098
"29","Lulu","S",12548
"30","LeBlanc","M",23739
"31","Lee Sin","TJ",16178
"32","Riven","TM",38358
"33","Lissandra","M",12335
"34","Lillia","J",50726
"35","Master Yi","J",24143
"36","Maokai","TS",10324
"37","Malzahar","M",32212
"38","Malphite","TM",54495
"39","Mordekaiser","TM",10743
"40","Morgana","JS",3986
"41","Dr. Mundo","T",7070
"42","Miss Fortune","A",75480
"43","Bard","S",2248
"44","Varus","A",10360
"45","Vi","J",12148
"46","Veigar","MS",26307
"47","Vayne","TA",50678
"48","Vel'Koz","S",71464
"49","Volibear","TJ",102220
"50","Braum","S",153554
"51","Brand","S",14259
"52","Vladimir","TM",23002
"53","Blitzcrank","S",8852
"54","Viego","TJM",8925
"55","Viktor","M",42671
"56","Poppy","TJS",17216
"57","Samira","A",37045
"58","Sion","TM",13549
"59","Sylas","TM",22485
"60","Shaco","JS",46546
"61","Senna","AS",19882
"62","Seraphine","S",12705
"63","Sejuani","J",39172
"64","Sett","TMS",161370
"65","Sona","S",66905
"66","Soraka","S",7657
"67","Shen","TS",5550
"68","Shyvana","J",69012
"69","Swain","AS",65419
"70","Sivir","A",87964
"71","Xin Zhao","J",60588
"72","Syndra","M",7549
"73","Singed","T",28915
"74","Thresh","S",28777
"75","Ahri","M",27646
"76","Amumu","J",25341
"77","Aurelion Sol","M",75890
"78","Ivern","J",8245
"79","Azir","M",14039
"80","Akali","TM",50055
"81","Aatrox","T",8799
"82","Aphelios","A",42552
"83","Alistar","S",62761
"84","Annie","M",39376
"85","Anivia","MS",8384
"86","Ashe","A",12629
"87","Yasuo","TMA",24819
"88","Ekko","JM",44190
"89","Elise","J",28991
"90","Wukong","TJM",68358
"91","Ornn","T",22848
"92","Orianna","M",6045
"93","Olaf","J",10822
"94","Yone","TM",13099
"95","Yorick","T",14509
"96","Udyr","J",14027
"97","Urgot","T",81418
"98","Warwick","TJ",10483
"99","Yuumi","S",36498
"100","Irelia","TM",118017
"101","Evelynn","J",13860
"102","Ezreal","A",97116
"103","Illaoi","T",7943
"104","Jarvan IV","J",145086
"105","Xayah","A",12356
"106","Zyra","S",149031
"107","Zac","TJS",50628
"108","Janna","S",42907
"109","Jax","TJ",5209
"110","Zed","M",3629
"111","Xerath","MS",24854
"112","Jayce","TM",27324
"113","Zoe","M",4943
"114","Jhin","A",15530
"115","Zilean","S",32892
"116","Jinx","A",117494
"117","Cho'Gath","TM",7537
"118","Karma","S",4478
"119","Camille","TM",7026
"120","Kassadin","M",37920
"121","Karthus","J",2580
"122","Cassiopeia","M",15032
"123","Kai'Sa","A",89152
"124","Kha'Zix","J",105648
"125","Katarina","M",9029
"126","Kalista","TA",7987
"127","Kennen","T",25553
"128","Caitlyn","A",8411
"129","Kayn","J",10463
"130","Kayle","T",9874
"131","Kog'Maw","A",33032
"132","Corki","M",73551
"133","Quinn","T",3844
"134","Kled","TM",9094
"135","Qiyana","M",9232
"136","Kindred","J",97397
"137","Taric","S",20858
"138","Talon","M",37162
"139","Taliyah","J",29645
"140","Tahm Kench","A",20951
"141","Trundle","TJ",27752
"142","Tristana","MA",12636
"143","Tryndamere","T",103632
"144","Twisted Fate","M",33898
"145","Twitch","A",105922
"146","Teemo","T",42483
"147","Pyke","S",3980
"148","Pantheon","TMS",37710
"149","Fiddlesticks","J",29396
"150","Fiora","T",57235
"151","Fizz","M",12983
"152","Heimerdinger","T",13382
"153","Hecarim","J",13973
